external_review_id,query_char,query_unicode,candidate_char,candidate_unicode,relation_type,relation_claim_to_verify,later_masked_cnbe_field,source_document,source_locator,source_grade,unicode_identity_status,external_relation_label,external_source_confirmation,external_reviewer_id,external_review_decision,external_review_notes,external_packet_notice
P1_EXT_001,鬈,U+9B08,鬓,U+9B13,shared_radical_component,radical=髟,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_6312;candidate=8105_full_3473,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_002,搂,U+6402,播,U+64AD,shared_radical_component,radical=扌,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_2535;candidate=8105_full_3199,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_003,曛,U+66DB,暧,U+66A7,shared_radical_component,radical=日,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_6329;candidate=8105_full_5700,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_004,邢,U+90A2,陞,U+965E,shared_radical_component,radical=阝,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_3567;candidate=8105_full_6909,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_005,院,U+9662,陞,U+965E,shared_radical_component,radical=阝,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_1734;candidate=8105_full_6909,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_006,鹘,U+9E58,鸹,U+9E39,shared_radical_component,radical=鸟,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_5732;candidate=8105_full_4890,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_007,氇,U+6C07,毳,U+6BF3,shared_radical_component,radical=毛,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_6120;candidate=8105_full_5194,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_008,秒,U+79D2,秀,U+79C0,shared_radical_component,radical=禾,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_1547;candidate=8105_full_0765,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_009,健,U+5065,侗,U+4F97,shared_radical_component,radical=亻,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_1969;candidate=8105_full_3957,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_010,笞,U+7B1E,简,U+7B80,shared_radical_component,radical=⺮,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_4903;candidate=8105_full_2954,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
P1_EXT_011,骛,U+9A9B,骣,U+9AA3,shared_radical_component,radical=马,radix,review_packets/8105_full/8105_full_no_legacy_standardizer.csv,query=8105_full_5327;candidate=8105_full_6024,standard_derived,PASS_FROM_P0_MANIFEST,,,,,,BLINDED_TO_PRIOR_APPROVALS; VERIFY_FROM_SOURCE_AND_RECORD_POSITIVE_NEGATIVE_OR_EXCLUDE
