row_id,character,unicode_codepoint,standard_rank,original_structure,original_decomposition,original_components,yuanliu_structure,yuanliu_decomposition,yuanliu_ids_structure,cihai_hit_count,cihai_snippets,wiki_hit_count,wiki_titles,wiki_snippets,proposed_structure,proposed_decomposition,candidate_rule,source_priority,authority_boundary,confidence,blocker,review_status,cnbe_write_status,database_rebuild_status,zdic_status
8105_full_0001,一,U+4E00,1,独体字,?,一,独体字,?,,8,"阿尔泰乌梁海清代乌梁海三部之[ci_hai_v01_b1.json 页41]【一】。以
爱情悲剧：《蓝眼盗》叙述丛林中[ci_hai_v01_b1.json 页41]【一】支",0,,,独体字,一,standard_side_single_component_identity,existing_8105_standard_side,REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,NOT_USED_IN_PRIORITY_DEFAULT_WORKFLOW
8105_full_0002,乙,U+4E59,2,独体字,?,乙,独体字,?,,8,"司匹林（Aspirin）亦称”[ci_hai_v01_b1.json 页61]【乙】酰水杨酸”
化氯代胆碱”。化学名2一氯[ci_hai_v01_b1.json 页75]【乙】基三甲基氯",0,,,独体字,乙,standard_side_single_component_identity,existing_8105_standard_side,REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,NOT_USED_IN_PRIORITY_DEFAULT_WORKFLOW
8105_full_0006,厂,U+5382,6,独体字,?,厂,独体字,?,,8,"[ci_hai_v01_b1.json 页41]【厂】。
器装配等[ci_hai_v01_b1.json 页42]【厂】。为重要石油输出港和世界大",0,,,独体字,厂,standard_side_single_component_identity,existing_8105_standard_side,REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,NOT_USED_IN_PRIORITY_DEFAULT_WORKFLOW
8105_full_0009,八,U+516B,9,独体字,?,八,独体字,?,,8,"兰革命联盟”（[ci_hai_v01_b1.json 页43]【八】党联盟）进行抵抗。在阿
论述四谛、[ci_hai_v01_b1.json 页45]【八】正道、十二因缘、五蕴、四禅以",0,,,独体字,八,standard_side_single_component_identity,existing_8105_standard_side,REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,NOT_USED_IN_PRIORITY_DEFAULT_WORKFLOW
8105_full_0010,人,U+4EBA,10,独体字,?,人,独体字,?,,8,"1834—1893）墨西哥诗[ci_hai_v01_b1.json 页41]【人】、小说家。印第
安[ci_hai_v01_b1.json 页41]【人】。曾参加反对法国人侵的斗争，并创",0,,,独体字,人,standard_side_single_component_identity,existing_8105_standard_side,REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,NOT_USED_IN_PRIORITY_DEFAULT_WORKFLOW
8105_full_0011,入,U+5165,11,独体字,?,入,独体字,?,,8,"的汉文译本《阿凡提的故事》共收[ci_hai_v01_b1.json 页42]【入】393
期反抗西班牙殖民者[ci_hai_v01_b1.json 页52]【入】侵。17世纪初曾将",0,,,独体字,入,standard_side_single_component_identity,existing_8105_standard_side,REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,NOT_USED_IN_PRIORITY_DEFAULT_WORKFLOW
8105_full_0016,刁,U+5201,16,独体字,?,刁,独体字,?,,8,"制，悉暗练之。”又《[ci_hai_v01_bc1.json 页112]【刁】协传》：“协久在中
会副委员长。著有散文集《[ci_hai_v01_bc11.json 页649]【刁】斗集》、《荷",0,,,独体字,刁,standard_side_single_component_identity,existing_8105_standard_side,REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,NOT_USED_IN_PRIORITY_DEFAULT_WORKFLOW
8105_full_0021,又,U+53C8,21,独体字,?,又,独体字,?,,8,"53年改名阿尔泰县，1954年[ci_hai_v01_b1.json 页41]【又】改
际情况，使建筑既现代化[ci_hai_v01_b1.json 页42]【又】具有地方和人",0,,,独体字,又,standard_side_single_component_identity,existing_8105_standard_side,REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,NOT_USED_IN_PRIORITY_DEFAULT_WORKFLOW
8105_full_0028,士,U+58EB,28,独体字,?,士,独体字,?,,8,"究。著有《评优[ci_hai_v01_b1.json 页41]【士】丁尼安法典后三卷》等。
比锡大学毕业，1877年起任瑞[ci_hai_v01_b1.json 页42]【士】",0,,,独体字,士,standard_side_single_component_identity,existing_8105_standard_side,REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,NOT_USED_IN_PRIORITY_DEFAULT_WORKFLOW
8105_full_0031,寸,U+5BF8,31,独体字,?,寸,独体字,?,,8,"情表演方法，代之以有分[ci_hai_v01_b1.json 页78]【寸】的现实主义表
曲》：“捣麝成尘香不灭，抄莲作[ci_hai_v01_bc1.json 页116]【寸】丝难绝。”",0,,,独体字,寸,standard_side_single_component_identity,existing_8105_standard_side,REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,NOT_USED_IN_PRIORITY_DEFAULT_WORKFLOW
8105_full_0063,弓,U+5F13,63,独体字,?,弓,独体字,?,,8,"《礼记·檀[ci_hai_v01_b1.json 页67]【弓】下》：“有妇人哭
《礼记·檀[ci_hai_v01_b1.json 页88]【弓】上》：“泰山其颓，则吾将安",0,,,独体字,弓,standard_side_single_component_identity,existing_8105_standard_side,REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,NOT_USED_IN_PRIORITY_DEFAULT_WORKFLOW
