char,unicode,standard_rank,block_reason,resolution_class,next_required_action,approved_radical,approved_strokes,approved_agent_structure,approved_agent_struct_type,source_model_presence,current_index_recoverable,decoded_current_index,decoded_ext,write_status,database_status
刁,U+5201,16,radical_resolution_blocked,requires_radical_alias_extension_review,Approved radical label is outside the conservative radical map and needs an audited alias or fallback policy.,刁,2,独体字,0,present,True,1025,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
巳,U+5DF3,62,radical_resolution_blocked,requires_shape_group_disambiguation,Approved radical label belongs to an ambiguous shape group and needs explicit standard-source disambiguation.,巳,3,独体字,0,present,True,2035,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
卫,U+536B,65,radical_resolution_blocked,requires_component_to_radical_policy_review,Approved radical label is a component or stroke-like form that is not safely mapped to a CNBE32 radix yet.,乛,3,独体字,0,present,True,1387,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
也,U+4E5F,66,radical_resolution_blocked,requires_component_to_radical_policy_review,Approved radical label is a component or stroke-like form that is not safely mapped to a CNBE32 radix yet.,乚,3,独体字,0,present,True,95,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
飞,U+98DE,69,radical_resolution_blocked,requires_radical_alias_extension_review,Approved radical label is outside the conservative radical map and needs an audited alias or fallback policy.,飞,3,独体字,0,present,True,734,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
长,U+957F,127,radical_resolution_blocked,requires_radical_alias_extension_review,Approved radical label is outside the conservative radical map and needs an audited alias or fallback policy.,长,4,独体字,0,present,True,1919,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
巴,U+5DF4,178,radical_resolution_blocked,requires_shape_group_disambiguation,Approved radical label belongs to an ambiguous shape group and needs explicit standard-source disambiguation.,巳,4,独体字,0,present,True,2036,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
队,U+961F,180,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,4,左右,3,present,True,31,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
邓,U+9093,185,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,4,左右,3,present,True,659,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
兰,U+5170,306,radical_resolution_blocked,requires_component_to_radical_policy_review,Approved radical label is a component or stroke-like form that is not safely mapped to a CNBE32 radix yet.,丷,5,上下,1,present,True,880,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
民,U+6C11,327,radical_resolution_blocked,requires_component_to_radical_policy_review,Approved radical label is a component or stroke-like form that is not safely mapped to a CNBE32 radix yet.,民,5,独体字,0,present,True,1553,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
邦,U+90A6,348,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,6,左右,3,present,True,678,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
邪,U+90AA,405,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,6,左右,3,present,True,682,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
关,U+5173,532,radical_resolution_blocked,requires_component_to_radical_policy_review,Approved radical label is a component or stroke-like form that is not safely mapped to a CNBE32 radix yet.,丷,6,上下,1,present,True,883,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
那,U+90A3,564,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,6,左右,3,present,True,675,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
阵,U+9635,571,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,6,左右,3,present,True,53,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
阳,U+9633,572,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,6,左右,3,present,True,51,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
阶,U+9636,574,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,6,左右,3,present,True,54,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
