sample_id,char,unicode,review_prior,review_queue,source_gap_failure_codes,dictionary_context_class,dictionary_source_count,dictionary_source_ids,kangxi_preview,zhonghua_dazidian_preview,source_grade,human_review_status,human_structure_label,human_decomposition,human_evidence_source,human_review_notes
review_prior_medium:001,俁,U+4FC1,review_prior_medium,agent_standard_rule_learning_candidate,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,dictionary_context_dual_source,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,【廣韻】虞矩切【集韻】五矩切【韻會】魚矩切，𠀤音麌。容貌大也。【詩·邶風】碩人俁俁。,1、俁讀音：五矩切，音麌，麌韻。釋文：大也。見《說文》。 〔按詩簡兮。碩人～～。傳曰。～～。容貌大也。是許義與毛義合也〕。 2、屲釋文：同俁。見《正字通》。 〔按經典釋文引詩邶風碩人俁俁。作～～。楊愼字說。以從俁爲正〕。 3、㒁讀音：五矩切，御上聲，麌韻。〔或作屲〕。釋文： ❶～～。勇而無禮之貌。《太玄遇》：～～兌,cross_reference_dictionary_context,未审核,,,,
review_prior_medium:002,劏,U+528F,review_prior_medium,agent_standard_rule_learning_candidate,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,dictionary_context_gap,0,,,,dictionary_context_gap,未审核,,,,
review_prior_medium:003,噚,U+565A,review_prior_medium,agent_standard_rule_learning_candidate,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,dictionary_context_gap,0,,,,dictionary_context_gap,未审核,,,,
review_prior_medium:004,墰,U+58B0,review_prior_medium,agent_standard_rule_learning_candidate,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,dictionary_context_single_source,1,nlp_han_dicts_zhonghua_dazidian,,1、墰讀音：徒南切，音覃，覃韻。釋文：同壜。甒屬。見《類篇》。 2、壜讀音：徒南切，音覃，覃韻。釋文：甒屬。見《玉篇》。,cross_reference_dictionary_context,未审核,,,,
review_prior_medium:005,嬇,U+5B07,review_prior_medium,agent_standard_rule_learning_candidate,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,dictionary_context_dual_source,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,【廣韻】【集韻】𠀤胡對切，音潰。女字。 又【廣韻】【集韻】𠀤苦怪切，音蒯。女嬇，鬼方氏妹。【史記·楚世家】陸終之妻。【大戴禮】作女隤。,1、嬇讀音：胡對切，音潰，隊韻。苦怪切，音蒯，卦韻。釋文： ❶女字。見《集韻》。 ❷陸終妻名。《史記楚世家索隱》：系本云。陸終娶鬼方氏之妺。謂之女～。,cross_reference_dictionary_context,未审核,,,,
review_prior_medium:006,嵾,U+5D7E,review_prior_medium,agent_standard_rule_learning_candidate,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,dictionary_context_dual_source,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,【廣韻】楚簪切【集韻】【韻會】初簪切，𠀤音參。嵾嵳，不齊貌。或作㠁。【揚雄·甘泉賦】增宮㠁嵯。或通作參差。,1、嵾讀音：初簪切，音參，侵韻。倉含切，音參，覃韻。釋文：～嵯。不齊貌。《文選揚雄賦》：增宮～嵯。 2、㠁釋文：嵾或字。見《集韻》。 3、嶧釋文：同㠁。見《篇海類編》。,cross_reference_dictionary_context,未审核,,,,
review_prior_medium:007,彠,U+5F60,review_prior_medium,agent_standard_rule_learning_candidate,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,dictionary_context_dual_source,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,【廣韻】憂縛切【韻會】鬱縛切，𠀤音嬳。【說文】本作蒦。蒦，度也。或从尋，尋亦度也。【馬融·長笛賦】挑截本末，規摹彠矩。 又【廣韻】【集韻】𠀤胡麥切，音獲。又【廣韻】烏虢切，音擭。義𠀤同。,1、彠讀音：憂縛切，音嬳，烏虢切，音擭，藥韻。胡麥切，音獲，陌韻。釋文： ❶蒦或字。《說文蒦部》：蒦、或从尋。尋、亦度也。楚辭曰。求矩～之所同。 ❷同矱。《文選馬融賦》：規摹～矩。 〔注〕：～亦矱字。 2、蒦讀音：屋虢切，音擭，陌韻。釋文：艸名。見《集韻》。 3、蒦讀音：鬱縛切，音雘，藥韻。屋虢切，音擭，胡陌切，音獲,cross_reference_dictionary_context,未审核,,,,
review_prior_medium:008,掚,U+639A,review_prior_medium,agent_standard_rule_learning_candidate,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,dictionary_context_dual_source,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,【集韻】【韻會】里養切【正韻】良獎切，𠀤音兩。整飾也。【左傳·宣十二年】御下兩馬。【註】兩，或作掚。【周禮·夏官·環人掌致師註】引春秋傳作掚馬。 又【集韻】力讓切，音亮。義同。,1、掚讀音：里養切，音兩，養韻。力讓切，音亮，漾韻。釋文：整飾也。春秋傳曰。御下兩馬。見《集韻》。 〔按周禮環人掌致師注引春秋傳、作～馬〕。,cross_reference_dictionary_context,未审核,,,,
review_prior_medium:009,斸,U+65B8,review_prior_medium,agent_standard_rule_learning_candidate,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,dictionary_context_dual_source,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,【唐韻】陟玉切【集韻】【韻會】株玉切，𠀤音瘃。【說文】斫也。【爾雅·釋器】斪斸謂之定。互詳斪字註。【玉篇】同钃。 又【五音集韻】之角切，音琢。義同。,1、斸讀音：株玉切，音瘃，沃韻。之角切，音琢，覺韻。釋文： ❶斫也。見《說文》。 ❷誅也。主以誅鉏根株也。見《釋名釋用器》。 ❸縣～。山名。見《山海經中山經》。 ❹同钃。見《玉篇》。 2、劚釋文：同斸。見《正字通》。 3、纮釋文：斸俗字。見《篇海》。 4、欘讀音：株玉切，音劚，沃韻。釋文： ❶斫也。齊謂之茲箕。一曰斤柄,cross_reference_dictionary_context,未审核,,,,
review_prior_medium:010,槼,U+69FC,review_prior_medium,agent_standard_rule_learning_candidate,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,dictionary_context_dual_source,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,【集韻】【類篇】𠀤同規。古文規作槼。或省作槼。槼字从䂓，作䂓下木。,1、槼釋文：規或字。見《集韻》。 2、規讀音：均窺切，音梁，支韻。 〔按音學五書曰。古音歌〕。釋文： ❶有法度也。从夫。从視。見《說文夫部》。 〔按朱駿聲云。誼當从矢从見。會意。與矩字及或體榘字同。相承寫誤耳。圓出於方。方出於矩。規矩同原。故皆从矢。說文隸夫部。非〕。 ❷正圓之器也。見《詩沔水序箋》。 ❸圓也。《楚,cross_reference_dictionary_context,未审核,,,,
