pilot_id,stratum,unicode,char,codepoint,catalog_offset,worksheet_row,catalog_scope,review_status,structure_evidence_status,source_grade,next_action,dictionary_source_count,has_origin_context,cihai_hit_count,wiki_hit_count,dictionary_review_status,wiki_review_status,feature_review_queue,evidence_role,pilot_reason,human_review_status,human_structure_label,human_decomposition,human_notes,editable_copy_notice
8105_core_control_001,8105_core_control,U+3447,㑇,13383,1134,1136,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,0,False,0,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_002,8105_core_control,U+4E09,三,19977,5,7,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,True,8,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_003,8105_core_control,U+4EA1,亡,20129,956,958,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,True,8,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_004,8105_core_control,U+4F25,伥,20261,1200,1202,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,1,True,0,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_005,8105_core_control,U+4FB5,侵,20405,1281,1283,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,True,8,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_006,8105_core_control,U+5076,偶,20598,1363,1365,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,True,8,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_007,8105_core_control,U+5181,冁,20865,3543,3545,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,1,True,0,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_008,8105_core_control,U+522B,别,21035,4507,4509,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,1,True,8,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_009,8105_core_control,U+52FE,勾,21246,5727,5729,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,True,8,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_010,8105_core_control,U+53A5,厥,21413,6510,6512,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,True,8,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_011,8105_core_control,U+542B,含,21547,7316,7318,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,True,8,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_012,8105_core_control,U+54B3,咳,21683,7397,7399,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,True,8,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_013,8105_core_control,U+5555,啕,21845,7479,7481,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,True,0,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_014,8105_core_control,U+5600,嘀,22016,7561,7563,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,True,8,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_015,8105_core_control,U+5704,圄,22276,10948,10950,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,True,0,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_016,8105_core_control,U+579F,垟,22431,11326,11328,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,False,1,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_017,8105_core_control,U+5851,塑,22609,11408,11410,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,True,8,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_018,8105_core_control,U+5951,契,22865,13636,13638,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,True,8,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_019,8105_core_control,U+5A05,娅,23045,14161,14163,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,1,True,8,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_020,8105_core_control,U+5AED,嫭,23277,14243,14245,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,False,0,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_021,8105_core_control,U+5BBF,宿,23487,16178,16180,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,True,8,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_022,8105_core_control,U+5C7C,屼,23676,17971,17973,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,False,0,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_023,8105_core_control,U+5D36,崶,23862,18053,18055,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,False,0,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_024,8105_core_control,U+5E37,帷,24119,19824,19826,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,True,8,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_025,8105_core_control,U+5F07,弇,24327,21294,21296,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,True,0,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
8105_core_control_026,8105_core_control,U+5FC9,忉,24521,22562,22564,8105_core,READY_FOR_8105_CORE_ITEM_LEVEL_REVIEW,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,True,0,0,,,,national_standard_core_control,8105 national-standard core control row; validates source joins before scoring,待审核,,,,PILOT_REVIEW_COPY_NOT_SOURCE_EVIDENCE
