row_id,character,unicode_codepoint,decimal_codepoint,standard_rank,scope,approved_agent_structure,approved_agent_struct_type,approved_decomposition,approved_components,approved_basis,current_model_exists,current_unicode_codepoint,unicode_status,current_cnbe,current_radix,current_radix_name,current_strokes,current_struct_name,current_struct_type,current_agent_structure_localized,current_agent_struct_type_localized,current_structure_localization_status,merge_status,merge_authority,source_table_write_status,cnbe32_write_status,database_rebuild_status
8105_full_0001,一,U+4E00,19968,1,8105_national_standard_core,独体字,0,一,,HUMAN_CONFIRMED_HANZI_DECOMP_V03,True,U+4E00,UNICODE_MATCH,17301504,1,一,1,single,0,独体字,0,LEGACY_STRUCTURE_LOCALIZED,CURRENT_MODEL_STRUCTURE_CONFIRMED,HUMAN_APPROVED_AGENT_STRUCTURE_CANDIDATE_NOT_NATIONAL_STANDARD,NO_SOURCE_TABLE_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD
8105_full_0002,乙,U+4E59,20057,2,8105_national_standard_core,独体字,0,乙,,HUMAN_CONFIRMED_HANZI_DECOMP_V03,True,U+4E59,UNICODE_MATCH,1524991376,90,爿,28,full-wrap,11,全包围,11,LEGACY_STRUCTURE_LOCALIZED,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_APPROVED_AGENT_STRUCTURE_CANDIDATE_NOT_NATIONAL_STANDARD,NO_SOURCE_TABLE_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD
8105_full_0003,二,U+4E8C,20108,3,8105_national_standard_core,独体字,0,二,,HUMAN_CONFIRMED_HANZI_DECOMP_V03,True,U+4E8C,UNICODE_MATCH,2374830272,141,虍,17,left-wrap,10,左三包,7,LEGACY_STRUCTURE_LOCALIZED,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_APPROVED_AGENT_STRUCTURE_CANDIDATE_NOT_NATIONAL_STANDARD,NO_SOURCE_TABLE_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD
8105_full_0004,十,U+5341,21313,4,8105_national_standard_core,独体字,0,十,,HUMAN_CONFIRMED_HANZI_DECOMP_V03,True,U+5341,UNICODE_MATCH,1047221264,62,戈,13,top-right-wrap,6,右上包,6,LEGACY_STRUCTURE_LOCALIZED,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_APPROVED_AGENT_STRUCTURE_CANDIDATE_NOT_NATIONAL_STANDARD,NO_SOURCE_TABLE_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD
8105_full_0005,丁,U+4E01,19969,5,8105_national_standard_core,独体字,0,丁,,HUMAN_CONFIRMED_HANZI_DECOMP_V03,True,U+4E01,UNICODE_MATCH,34635792,2,丨,2,left-right,1,左右,3,LEGACY_STRUCTURE_LOCALIZED,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_APPROVED_AGENT_STRUCTURE_CANDIDATE_NOT_NATIONAL_STANDARD,NO_SOURCE_TABLE_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD
8105_full_0006,厂,U+5382,21378,6,8105_national_standard_core,独体字,0,厂,,HUMAN_CONFIRMED_HANZI_DECOMP_V03,True,U+5382,UNICODE_MATCH,2139314208,127,耒,16,top-right-wrap,6,右上包,6,LEGACY_STRUCTURE_LOCALIZED,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_APPROVED_AGENT_STRUCTURE_CANDIDATE_NOT_NATIONAL_STANDARD,NO_SOURCE_TABLE_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD
8105_full_0007,七,U+4E03,19971,7,8105_national_standard_core,独体字,0,七,,HUMAN_CONFIRMED_HANZI_DECOMP_V03,True,U+4E03,UNICODE_MATCH,69304368,4,丿,4,up-down,3,上下,1,LEGACY_STRUCTURE_LOCALIZED,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_APPROVED_AGENT_STRUCTURE_CANDIDATE_NOT_NATIONAL_STANDARD,NO_SOURCE_TABLE_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD
8105_full_0008,卜,U+535C,21340,8,8105_national_standard_core,独体字,0,卜,,HUMAN_CONFIRMED_HANZI_DECOMP_V03,True,U+535C,UNICODE_MATCH,1498142144,89,爻,9,bottom-left-wrap,7,左下包,8,LEGACY_STRUCTURE_LOCALIZED,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_APPROVED_AGENT_STRUCTURE_CANDIDATE_NOT_NATIONAL_STANDARD,NO_SOURCE_TABLE_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD
8105_full_0009,八,U+516B,20843,9,8105_national_standard_core,独体字,0,八,,HUMAN_CONFIRMED_HANZI_DECOMP_V03,True,U+516B,UNICODE_MATCH,339883696,20,勹,8,up-mid-down,4,上中下,2,LEGACY_STRUCTURE_LOCALIZED,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_APPROVED_AGENT_STRUCTURE_CANDIDATE_NOT_NATIONAL_STANDARD,NO_SOURCE_TABLE_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD
8105_full_0010,人,U+4EBA,20154,10,8105_national_standard_core,独体字,0,人,,HUMAN_CONFIRMED_HANZI_DECOMP_V03,True,U+4EBA,UNICODE_MATCH,3137997728,187,馬,1,up-mid-down,4,上中下,2,LEGACY_STRUCTURE_LOCALIZED,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_APPROVED_AGENT_STRUCTURE_CANDIDATE_NOT_NATIONAL_STANDARD,NO_SOURCE_TABLE_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD
8105_full_0011,入,U+5165,20837,11,8105_national_standard_core,独体字,0,入,,HUMAN_CONFIRMED_HANZI_DECOMP_V03,True,U+5165,UNICODE_MATCH,236303952,14,冖,2,full-wrap,11,全包围,11,LEGACY_STRUCTURE_LOCALIZED,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_APPROVED_AGENT_STRUCTURE_CANDIDATE_NOT_NATIONAL_STANDARD,NO_SOURCE_TABLE_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD
