row_id,character,unicode_codepoint,decimal_codepoint,scope,standard_level,standard_rank,source_level,proposed_cnbe32,proposed_cnbe32_status,candidate_structure_label,candidate_structure_status,candidate_decomposition,candidate_decomposition_status,direct_component_candidates,character_component_candidates,non_character_component_candidates,unknown_component_candidates,basic_component_candidates,component_source,radical,radical_status,stroke_count,stroke_order,stroke_order_status,gf0017_existing_score,gf0017_existing_max,gf0017_formal_total,gf0017_new_points_assigned,dictionary_context_status,kangxi_volume,kangxi_excerpt,zhonghua_excerpt,wiki_context_status,candidate_status,standard_evidence_status,blocked_items,review_status,cnbe_write_status,database_rebuild_status,agent_version
8105_core_control_001,㑇,U+3447,13383,8105_national_standard_core,三级,6602,national_standard_then_core_reference_then_network_cross_reference,,NO_PROPOSED_CNBE32_BEFORE_REVIEW,,NOT_FINAL_STRUCTURE_LABEL,,DECOMPOSITION_REVIEW_REQUIRED,,,,,㑇,8105_encoding_comparison.standard.components; GF 0014-2009 现代常用字部件及部件名称规范 + yuanliu_chars.json IDS分解,,RADICAL_STANDARD_SOURCE_CHECK_REQUIRED,7,3 2 3 5 5 1 1,PASS_STANDARD_DERIVED_STROKE_ORDER,6,6,50,0,NO_DICTIONARY_CONTEXT,,,,NO_WIKI_CONTEXT,STANDARDIZER_EVIDENCE_GAP,REVIEW_REQUIRED,NO_COMPONENT_OR_DICTIONARY_CONTEXT;FINAL_STRUCTURE_LABEL_NOT_ASSIGNED;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,CNBE 8105 bounded standardizer pilot v2-no-legacy-structure
8105_core_control_002,三,U+4E09,19977,8105_national_standard_core,一级,22,national_standard_then_core_reference_then_network_cross_reference,,NO_PROPOSED_CNBE32_BEFORE_REVIEW,上下,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,⿱一二,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,一 二,一 二,,,一,8105_encoding_comparison.standard.components; GF 0014-2009 现代常用字部件及部件名称规范 + yuanliu_chars.json IDS分解,一,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,3,1 1 1,PASS_STANDARD_DERIVED_STROKE_ORDER,6,6,50,0,HAS_DICTIONARY_CONTEXT,【子集上】【一字部】,〔古文〕弎【唐韻】【集韻】【韻會】蘇甘切【正韻】蘇監切，𡘋颯平聲。【說文】三，天地人之道也。謂以陽之一合隂之二，次第重之，其數三也。【老子·道德經】一生二，二生三，三生萬物。【史記·律書】數始於一，終於十，成於三。又【周禮·冬官考工記】凡兵無過三其身。又【左傳·昭七年】士文伯曰：政不可不愼，務三而已。一擇人，二因民，三從時。又【晉語】民生於三，事之如一...,1、三讀音：蘇甘切，音嬖，覃韻。釋文： ❶天地人之道也。見《說文》。 　〔按～兼陰陽之數言。老子曰。一生二。二生～。～生萬物。此釋～之義。或曰一耦二爲～。卽以一儷二也。～畫而～才之道在焉。故曰天地人。又史記律書。數始於一。終於十。成於～。蓋謂以陽之一。合陰之二。次第重之。以成～數也〕。 ❷終也。《太玄進》：～歲不還。 ❸東方謂之～。《素問五常政大論》：...,NO_WIKI_CONTEXT,CANDIDATE_COMPONENTS_WITH_DICTIONARY_CONTEXT_REVIEW_REQUIRED,COMPLETE,FINAL_STRUCTURE_LABEL_NOT_ASSIGNED;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,CNBE 8105 bounded standardizer pilot v2-no-legacy-structure
8105_core_control_003,亡,U+4EA1,20129,8105_national_standard_core,一级,54,national_standard_then_core_reference_then_network_cross_reference,,NO_PROPOSED_CNBE32_BEFORE_REVIEW,上下,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,⿱亠?,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,亠,,亠,,一 丶,8105_encoding_comparison.standard.components; GF 0014-2009 现代常用字部件及部件名称规范 + yuanliu_chars.json IDS分解,亠,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,3,4 1 5,PASS_STANDARD_DERIVED_STROKE_ORDER,6,6,50,0,HAS_DICTIONARY_CONTEXT,【子集上】【亠字部】,【唐韻】【集韻】【韻會】𠀤武方切，音忘。失也。【孟子】樂酒無厭謂之亡。【註】謂廢時失事也。【家語】楚人亡弓，楚人得之。　又滅也。【莊子·田子方】楚王與凡君坐。少焉，楚左右曰：凡亡者三。凡君曰：凡之亡也，不足以喪，吾存。　又【周禮·春官·大宗伯】以喪禮哀死亡。　又逃也。【大學】舅犯曰：亡人無以爲寶。又【前漢·韓信傳】蕭何聞信亡，自追之。　又與忘同。【詩·...,1、亡讀音：武方切，音忘，陽韻。釋文： ❶逃也。見《說文兦部》。 　〔按～本作亾。从入。从熛〕。 ❷失也。《穀梁定八年傳》：非其所以與人而與人。謂之～。 ❸歿也。《周禮大宗伯》：以喪禮哀死～。 ❹奔也。《國語晉語》：請由此～。 ❺滅也。《書五子之歌》：有一於此。未或不～。 ❻叛也。《荀子王覇》：天下去之之謂～。 ❼樂酒無厭。謂之～。見《孟子梁惠王》。 ...,NO_WIKI_CONTEXT,CANDIDATE_COMPONENTS_WITH_DICTIONARY_CONTEXT_REVIEW_REQUIRED,REVIEW_REQUIRED,FINAL_STRUCTURE_LABEL_NOT_ASSIGNED;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,CNBE 8105 bounded standardizer pilot v2-no-legacy-structure
8105_core_control_004,伥,U+4F25,20261,8105_national_standard_core,二级,3607,national_standard_then_core_reference_then_network_cross_reference,,NO_PROPOSED_CNBE32_BEFORE_REVIEW,左右,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,⿰亻长,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,亻 长,长,亻,,亻 一,8105_encoding_comparison.standard.components; GF 0014-2009 现代常用字部件及部件名称规范 + yuanliu_chars.json IDS分解,亻,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,6,3 2 3 1 5 4,PASS_STANDARD_DERIVED_STROKE_ORDER,6,6,50,0,NO_DICTIONARY_CONTEXT,【子集中】【人字部】,【廣韻】褚羊切，音䓪。【說文】狂也。一曰仆也。又狂行不知所如也。【禮·仲尼燕居】瞽者無相，倀倀乎其何之。　又倀鬼，虎齧人，人死，魂不敢他適，輒隷事虎，名曰倀。【聽雨記談】人遇虎，衣帶自解，皆別寘於地。虎見人躶，而後食之，皆倀所爲。倀可謂鬼之愚者也。　又【集韻】仲良切，音長。義同。　又除庚切，音棖。獨立貌。　又【廣韻】【集韻】𠀤豬孟切，音趟。【廣韻】萌倀...,,HAS_WIKI_CONTEXT,CANDIDATE_COMPONENTS_REVIEW_REQUIRED,COMPLETE,FINAL_STRUCTURE_LABEL_NOT_ASSIGNED;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,CNBE 8105 bounded standardizer pilot v2-no-legacy-structure
8105_core_control_005,侵,U+4FB5,20405,8105_national_standard_core,一级,1574,national_standard_then_core_reference_then_network_cross_reference,,NO_PROPOSED_CNBE32_BEFORE_REVIEW,左右,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,⿰亻⿳彐冖又,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,亻 彐 又 冖,又,亻 彐 冖,,亻 一 又 冖,8105_encoding_comparison.standard.components; GF 0014-2009 现代常用字部件及部件名称规范 + yuanliu_chars.json IDS分解,亻,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,9,3 2 5 1 1 4 5 5 4,PASS_STANDARD_DERIVED_STROKE_ORDER,6,6,50,0,HAS_DICTIONARY_CONTEXT,【子集中】【人字部】,【唐韻】【正韻】七林切【集韻】【韻會】千尋切，𠀤音駸。【說文】漸進也。　又朘削也。【春秋·胡傳】聲罪緻討曰伐，潛師掠境曰侵。又【周禮·大司馬】負固不服則侵之。　又侵尋。【史記·武帝紀】天子始巡郡縣，侵尋於泰山。【封禪書】作浸尋。【郊祀志】作寢尋。義同。　又歲凶。【穀梁傳·襄二十四年】五穀不登，謂之大侵。【韓詩外傳】一穀不升曰歉，二穀不升曰饑，三穀不升曰...,1、侵讀音：千尋切，音駸，侵韻。釋文： ❶漸進也。見《說文》。 ❷陵也。《書大傳》：六伐旣～。 ❸犯也。《國語楚語》：無相～瀆。 ❹枉法行事也。《管子七臣七主》：～臣事小察以折法令。 　〔注〕：枉法行事謂之～。 ❺朘削也。《漢書地理志》：又爲諸侯所～。 ❻凡師有鐘鼓曰伐。無曰～。見《左莊二十九年傳》。 　〔又〕：觕者曰～。精者曰伐。見《公羊莊十年傳》。...,NO_WIKI_CONTEXT,CANDIDATE_COMPONENTS_WITH_DICTIONARY_CONTEXT_REVIEW_REQUIRED,COMPLETE,FINAL_STRUCTURE_LABEL_NOT_ASSIGNED;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,CNBE 8105 bounded standardizer pilot v2-no-legacy-structure
8105_core_control_006,偶,U+5076,20598,8105_national_standard_core,一级,2328,national_standard_then_core_reference_then_network_cross_reference,,NO_PROPOSED_CNBE32_BEFORE_REVIEW,左右,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,⿰亻禺,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,亻 禺,禺,亻,,亻 一 口 厶 冂,8105_encoding_comparison.standard.components; GF 0014-2009 现代常用字部件及部件名称规范 + yuanliu_chars.json IDS分解,亻,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,11,3 2 2 5 1 1 2 5 2 1 4,PASS_STANDARD_DERIVED_STROKE_ORDER,6,6,50,0,HAS_DICTIONARY_CONTEXT,【子集中】【人字部】,【唐韻】五口切【韻會】語口切，𠀤音耦。凡數，雙曰偶，隻曰奇。【禮·郊特牲】鼎俎奇而籩豆偶，隂陽之義也。又【爾雅·釋詁】合也。【註】謂對合也。又牉合也。【賈誼·五餌】言偶人無時。【韓詩】言不失時，以偶爲牉合也。又【家語】聖人因時，以合偶男女。　又儕輩曰偶。【前漢·黥布傳】率其曹偶，亡之江中。　又適然也。【列子·楊朱篇】鄧析謂子產曰：鄭國之治偶耳，非子之功...,1、偶讀音：語口切，音耦，有韻。釋文： ❶桐人也。見《說文》。《段注》：木～之～。與二枱並耕之耦義迥別。凡言人耦、射耦、嘉耦、怨耦。皆取耦耕之意。而無取桐人之意也。今皆作～。則失古意矣。又俗言～然者。當是俄字之聲誤。 　〔按桐人即木～。字亦作寓。亦作禺〕。 ❷雙數也。《禮記郊特牲》：鼎俎奇而籩豆～。 ❸合也。見《爾雅釋詁》。 ❹諧也。《列子力命》：多～...,NO_WIKI_CONTEXT,CANDIDATE_COMPONENTS_WITH_DICTIONARY_CONTEXT_REVIEW_REQUIRED,COMPLETE,FINAL_STRUCTURE_LABEL_NOT_ASSIGNED;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,CNBE 8105 bounded standardizer pilot v2-no-legacy-structure
8105_core_control_007,冁,U+5181,20865,8105_national_standard_core,三级,8023,national_standard_then_core_reference_then_network_cross_reference,,NO_PROPOSED_CNBE32_BEFORE_REVIEW,左右,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,⿰单展,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,单 展,单 展,,,丶 丿 亠,8105_encoding_comparison.standard.components; GF 0014-2009 现代常用字部件及部件名称规范 + yuanliu_chars.json IDS分解,丷,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,18,4 3 2 5 1 1 1 2 5 1 3 1 2 2 1 5 3 4,PASS_STANDARD_DERIVED_STROKE_ORDER,6,6,50,0,NO_DICTIONARY_CONTEXT,【丑集上】【口字部】,【集韻】丑展切，音蕆。囅然笑貌。　又【類篇】敕列切，音徹。義同。◎按辴囅二字，諸韻書音義大同小異，應卽一字，譌分爲二。,,NO_WIKI_CONTEXT,CANDIDATE_COMPONENTS_REVIEW_REQUIRED,COMPLETE,FINAL_STRUCTURE_LABEL_NOT_ASSIGNED;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,CNBE 8105 bounded standardizer pilot v2-no-legacy-structure
8105_core_control_008,别,U+522B,21035,8105_national_standard_core,一级,751,national_standard_then_core_reference_then_network_cross_reference,,NO_PROPOSED_CNBE32_BEFORE_REVIEW,左右,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,⿰另刂,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,刂 另,另,刂,,丨 亅 一 冂 丿,8105_encoding_comparison.standard.components; GF 0014-2009 现代常用字部件及部件名称规范 + yuanliu_chars.json IDS分解,刂,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,7,2 5 1 5 3 2 2,PASS_STANDARD_DERIVED_STROKE_ORDER,6,6,50,0,HAS_DICTIONARY_CONTEXT,【子集下】【刀字部】,〔古文〕𠔁【唐韻】方別切【集韻】【韻會】筆別切【正韻】必列切，𠀤鞭入聲。【說文】分解也。【玉篇】分別也。【增韻】辨也。【禮·曲禮】日月以告君，以厚其別也。【爾雅·釋山】小山別大山，鮮。【疏】謂小山與大山不相連屬者名鮮。【淮南子·齊俗訓】宰庖之切割分別也。【晉·仲長敖覈性賦】同稟氣質，無有區別。又傅別，謂券書也。【周禮·天官·小宰】八成，聽稱責以傳別。【...,,NO_WIKI_CONTEXT,CANDIDATE_COMPONENTS_WITH_DICTIONARY_CONTEXT_REVIEW_REQUIRED,COMPLETE,FINAL_STRUCTURE_LABEL_NOT_ASSIGNED;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,CNBE 8105 bounded standardizer pilot v2-no-legacy-structure
8105_core_control_009,勾,U+52FE,21246,8105_national_standard_core,一级,158,national_standard_then_core_reference_then_network_cross_reference,,NO_PROPOSED_CNBE32_BEFORE_REVIEW,右上包,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,⿹勹厶,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,厶 勹,,厶 勹,,厶 丿,8105_encoding_comparison.standard.components; GF 0014-2009 现代常用字部件及部件名称规范 + yuanliu_chars.json IDS分解,勹,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,4,3 5 5 4,PASS_STANDARD_DERIVED_STROKE_ORDER,6,6,50,0,HAS_DICTIONARY_CONTEXT,【子集下】【勹字部】,【篇海】古侯切，音溝。又古𠋫切，音遘。勾本作句。,1、勾讀音：古侯切，音溝，尤韻。〔本作句〕。釋文： ❶樂譜也。《宋史樂志》：蕤賓用～字。〔餘詳一字〕。 ❷日本以地面傾斜之度曰～配。 ❸日水裁判所發强制命令。召人訉問。名曰～引狀。吾國稱之曰拘票。 2、够釋文：同夠。見《字彙》。,NO_WIKI_CONTEXT,CANDIDATE_COMPONENTS_WITH_DICTIONARY_CONTEXT_REVIEW_REQUIRED,COMPLETE,FINAL_STRUCTURE_LABEL_NOT_ASSIGNED;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,CNBE 8105 bounded standardizer pilot v2-no-legacy-structure
8105_core_control_010,厥,U+53A5,21413,8105_national_standard_core,二级,5112,national_standard_then_core_reference_then_network_cross_reference,,NO_PROPOSED_CNBE32_BEFORE_REVIEW,左上包,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,⿸厂欮,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,欮 厂,厂,欮,,人 屮 厂,8105_encoding_comparison.standard.components; GF 0014-2009 现代常用字部件及部件名称规范 + yuanliu_chars.json IDS分解,厂,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,12,1 3 4 3 1 5 2 3 3 5 3 4,PASS_STANDARD_DERIVED_STROKE_ORDER,6,6,50,0,HAS_DICTIONARY_CONTEXT,【子集下】【厂字部】,〔古文〕氒〈氏下可〉𨈑𨈐𣅞【唐韻】【集韻】【韻會】𠀤居月切，音蕨。【說文】發石也。从厂，欮聲。【玉篇】短也。【爾雅·釋言】其也。【周禮·地官·鄕大夫之職】厥明。【註】其也。又【前漢·諸侯王表】漢諸侯王厥角稽首。【註】應劭曰：厥者，頓也。角者，頟角也。又姓。【韻會】京兆人，漢賜衡山王妾厥氏。又【韻會】九勿切，音𠜾。突厥世居金山，工於鐵作，金山狀如兜鍪。俗...,1、厥讀音：古月切，音蕨，月韻。釋文： ❶發石也。見《說文》。《段注》：發石故从厂。引伸之凡有撅發皆曰～。若釋言曰～其也。此假借也。假借盛行而本義廢矣。 ❷掘也。《山海經海外北經》：相柳之所抵～爲澤溪。《郭注》：抵、觸。～、掘也。 ❸猶豎也。《漢書諸王侯表》：～角崇首。《晉灼注》：叩頭則頭角豎。〔應劭曰。～者、頓也〕。 ❹盡也。《素問陰陽離合論》：～陰...,NO_WIKI_CONTEXT,CANDIDATE_COMPONENTS_WITH_DICTIONARY_CONTEXT_REVIEW_REQUIRED,COMPLETE,FINAL_STRUCTURE_LABEL_NOT_ASSIGNED;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,CNBE 8105 bounded standardizer pilot v2-no-legacy-structure
8105_core_control_011,含,U+542B,21547,8105_national_standard_core,一级,800,national_standard_then_core_reference_then_network_cross_reference,,NO_PROPOSED_CNBE32_BEFORE_REVIEW,上下,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,⿱今口,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,口 今,口 今,,,一 丨 人,8105_encoding_comparison.standard.components; GF 0014-2009 现代常用字部件及部件名称规范 + yuanliu_chars.json IDS分解,口,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,7,3 4 4 5 2 5 1,PASS_STANDARD_DERIVED_STROKE_ORDER,6,6,50,0,HAS_DICTIONARY_CONTEXT,【丑集上】【口字部】,【唐韻】【集韻】【韻會】【正韻】𠀤胡男切，音涵。【說文】嗛也。【廣韻】銜也。【莊子·馬蹄篇】含哺而熙。　又【禮·月令】羞以含桃，先薦寢廟。【註】含桃，櫻桃也。【釋文】含，亦作函。一說鸎鳥所含，故亦名鸎桃。　又【正韻】包也，容也。【易·坤卦】含弘光大，品物咸亨。又【文言】含萬物而化光。【書·盤庚】惟爾含德。　又【後漢·梁鴻詩】麥含含兮方秀。【註】含含，麥...,1、含讀音：胡男切，音涵，覃韻。釋文： ❶嗛也。見《說文》。《桂注》：莊子馬蹄篇。～哺而熙。 ❷包容也。《易坤》：～萬物而化光。 ❸懷也。《國策秦策》：～怒日久。 ❹忍也。《左宣十五年傳》：國君～垢。 ❺藏也。《國語楚語》：土氣～收。 ❻食也。《法言至孝》：子有～菽縕絮。 ❼～～。麥盛貌。《後漢梁鴻傳》：麥～～兮方秀。 ❽～桃。櫻桃也〔禮。記月令〕：羞...,NO_WIKI_CONTEXT,CANDIDATE_COMPONENTS_WITH_DICTIONARY_CONTEXT_REVIEW_REQUIRED,COMPLETE,FINAL_STRUCTURE_LABEL_NOT_ASSIGNED;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,CNBE 8105 bounded standardizer pilot v2-no-legacy-structure
8105_core_control_012,咳,U+54B3,21683,8105_national_standard_core,一级,1513,national_standard_then_core_reference_then_network_cross_reference,,NO_PROPOSED_CNBE32_BEFORE_REVIEW,左右,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,⿰口亥,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,口 亥,口 亥,,,一 丨 丶,8105_encoding_comparison.standard.components; GF 0014-2009 现代常用字部件及部件名称规范 + yuanliu_chars.json IDS分解,口,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,9,2 5 1 4 1 5 3 3 4,PASS_STANDARD_DERIVED_STROKE_ORDER,6,6,50,0,HAS_DICTIONARY_CONTEXT,【丑集上】【口字部】,〔古文〕孩【唐韻】戸來切【集韻】【正韻】何開切，𠀤音頦。【說文】小兒笑也。【史記·扁鵲傳】曾不可以告咳嬰之兒。【註】咳嬰，言嬰兒初知笑者。　又【禮·內則】父執子之右手，咳而名之。【疏】謂以一手執子右手，一手承子之咳而名之。【集韻】或作㜾𠹛。　又【集韻】柯開切，音該。【史記·倉公傳】受其脈書上下經，五色診奇咳術。【註】奇咳，言奇祕非常術也。【集解】奇音羈...,1、咳讀音：何開切，音頦，灰韻。釋文：小兒笑也。古作孩。見《說文》。《桂注》：禮記內則。父執子之右手～而名之。〔謂指其頤下、令之笑、而爲之名〕。 2、咳讀音：柯開切，音該，灰韻。釋文： ❶奇～。非常也。《史記倉公傳》：其脈法奇～。 ❷同該。《晏子外篇》：頸尾～於天地。 ❸同欬。《禮記內則》：不敢噦噫嚔～。 3、嘭讀音：何開切，音頦，灰韻。釋文： ❶笑也...,NO_WIKI_CONTEXT,CANDIDATE_COMPONENTS_WITH_DICTIONARY_CONTEXT_REVIEW_REQUIRED,COMPLETE,FINAL_STRUCTURE_LABEL_NOT_ASSIGNED;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,CNBE 8105 bounded standardizer pilot v2-no-legacy-structure
8105_core_control_013,啕,U+5555,21845,8105_national_standard_core,二级,4843,national_standard_then_core_reference_then_network_cross_reference,,NO_PROPOSED_CNBE32_BEFORE_REVIEW,左右,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,⿰口匋,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,口 匋,口,匋,,一 丨 丿 山,8105_encoding_comparison.standard.components; GF 0014-2009 现代常用字部件及部件名称规范 + yuanliu_chars.json IDS分解,口,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,11,2 5 1 3 5 3 1 1 2 5 2,PASS_STANDARD_DERIVED_STROKE_ORDER,6,6,50,0,NO_DICTIONARY_CONTEXT,【丑集上】【口字部】,【廣韻】【集韻】𠀤徒刀切，音陶。【廣韻】多言。【集韻】本作䛬。同䛌，往來也。　一曰小兒未能正言也。　一曰祝也。,1、啕讀音：徒刀切，音陶，豪韻。釋文： ❶多言也。見《廣韻》。 ❷同䛬。往來言也。一曰、小兒未能正言也。一曰、祝也。見《集韻》。 2、䛬讀音：大牢切，音陶，豪韻。釋文： ❶往來言也。一曰小兒未能正言也。一曰祝。也見《說文》。 ❷詜～。言不節也。見《玉篇》。 ❸～恼。語不了。見《集韻》。 ❹人名。與～。必～。見《宋史宗室表》。,NO_WIKI_CONTEXT,CANDIDATE_COMPONENTS_REVIEW_REQUIRED,COMPLETE,FINAL_STRUCTURE_LABEL_NOT_ASSIGNED;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,CNBE 8105 bounded standardizer pilot v2-no-legacy-structure
