row_id,character,unicode_codepoint,scope,candidate_structure_label,candidate_decomposition,direct_component_candidates,radical,standard_evidence_status,existing_score,existing_max,component_validity_score,component_validity_status,radical_validity_score,radical_validity_status,structure_first_decomposition_score,structure_first_decomposition_status,newly_assigned_score,assigned_score,formal_total,row_score_status,remaining_blocked_items,cnbe_write_status,database_rebuild_status,review_notice
8105_core_control_001,㑇,U+3447,8105_national_standard_core,,,,,REVIEW_REQUIRED,6,6,0,NOT_SCORABLE_COMPONENT_EVIDENCE_GAP,0,NOT_SCORABLE_RADICAL_EVIDENCE_GAP,0,NOT_SCORABLE_STRUCTURE_DECOMPOSITION_EVIDENCE_GAP,0,6,50,PARTIAL_SCORE_ONLY_REMAINING_STRUCTURE_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule;component_validity;radical_validity;structure_first_decomposition,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_002,三,U+4E09,8105_national_standard_core,上下,⿱一二,一 二,一,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_003,亡,U+4EA1,8105_national_standard_core,上下,⿱亠?,亠,亠,REVIEW_REQUIRED,6,6,0,NOT_SCORABLE_COMPONENT_EVIDENCE_GAP,0,NOT_SCORABLE_RADICAL_EVIDENCE_GAP,0,NOT_SCORABLE_STRUCTURE_DECOMPOSITION_EVIDENCE_GAP,0,6,50,PARTIAL_SCORE_ONLY_REMAINING_STRUCTURE_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule;component_validity;radical_validity;structure_first_decomposition,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_004,伥,U+4F25,8105_national_standard_core,左右,⿰亻长,亻 长,亻,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_005,侵,U+4FB5,8105_national_standard_core,左右,⿰亻⿳彐冖又,亻 彐 又 冖,亻,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_006,偶,U+5076,8105_national_standard_core,左右,⿰亻禺,亻 禺,亻,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_007,冁,U+5181,8105_national_standard_core,左右,⿰单展,单 展,丷,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_008,别,U+522B,8105_national_standard_core,左右,⿰另刂,刂 另,刂,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_009,勾,U+52FE,8105_national_standard_core,右上包,⿹勹厶,厶 勹,勹,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_010,厥,U+53A5,8105_national_standard_core,左上包,⿸厂欮,欮 厂,厂,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
