row_id,character,unicode_codepoint,standard_rank,original_structure,original_decomposition,original_components,yuanliu_structure,yuanliu_decomposition,yuanliu_ids_structure,cihai_hit_count,cihai_snippets,wiki_hit_count,wiki_titles,wiki_snippets,proposed_structure,proposed_decomposition,candidate_rule,source_priority,authority_boundary,confidence,blocker,review_status,cnbe_write_status,database_rebuild_status,zdic_status
8105_full_0005,丁,U+4E01,5,,一,丁,,一,,8,"究。著有《评优士[ci_hai_v01_b1.json 页41]【丁】尼安法典后三卷》等。
所贡献。796年出任图尔的圣马[ci_hai_v01_b1.json 页41]【丁】修道院",0,,,,,context_only_no_safe_structure_candidate,cihai_wiki_context_only,REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,NONE,SOURCE_EVIDENCE_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,NOT_USED_IN_PRIORITY_DEFAULT_WORKFLOW
8105_full_0018,刀,U+5200,18,右上包,⿹?丿,丿,右上包,⿹?丿,,8,"西南部。崇拜偶像。从事[ci_hai_v01_b1.json 页52]【刀】耕火种农业，
等，以产三[ci_hai_v01_bc1.json 页101]【刀】（菜刀、剪刀、皮刀）、皮件著",0,,,,,context_only_no_safe_structure_candidate,cihai_wiki_context_only,REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,NONE,SOURCE_EVIDENCE_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,NOT_USED_IN_PRIORITY_DEFAULT_WORKFLOW
8105_full_0019,力,U+529B,19,镶嵌,⿻丿?,丿,镶嵌,⿻丿?,,8,"要的钾盐产地。水[ci_hai_v01_b1.json 页41]【力】资源丰富，建有多座
设。工业有电[ci_hai_v01_b1.json 页41]【力】、砖瓦和矿泉水、刨花板等",0,,,,,context_only_no_safe_structure_candidate,cihai_wiki_context_only,REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,NONE,SOURCE_EVIDENCE_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,NOT_USED_IN_PRIORITY_DEFAULT_WORKFLOW
8105_full_0020,乃,U+4E43,20,右上包,⿹?丿,丿,右上包,⿹?丿,,8,"阿格[ci_hai_v01_b1.json 页44]【乃】撒拉语音译，意为“兄弟”、“本
惯。各家如出卖土地时，本“阿格[ci_hai_v01_b1.json 页44]【乃】”",0,,,,,context_only_no_safe_structure_candidate,cihai_wiki_context_only,REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,NONE,SOURCE_EVIDENCE_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,NOT_USED_IN_PRIORITY_DEFAULT_WORKFLOW
8105_full_0025,亏,U+4E8F,25,上下,⿱二?,二,上下,⿱二?,,8,"于肝肾阴[ci_hai_v01_bc1.json 页101]【亏】、血不养心所致的心悸、失眠、
企业做到自主经营、自负盈[ci_hai_v01_bc10.json 页588]【亏】。有集体（企",0,,,,,context_only_no_safe_structure_candidate,cihai_wiki_context_only,REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,NONE,SOURCE_EVIDENCE_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,NOT_USED_IN_PRIORITY_DEFAULT_WORKFLOW
8105_full_0029,才,U+624D,29,镶嵌,⿻扌?,扌,镶嵌,⿻扌?,,8,"1860年[ci_hai_v01_b1.json 页42]【才】获得普遍公认。著有《可称物质
有具备相当条件[ci_hai_v01_b1.json 页46]【才】可以上升为曲诺。",0,,,,,context_only_no_safe_structure_candidate,cihai_wiki_context_only,REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,NONE,SOURCE_EVIDENCE_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,NOT_USED_IN_PRIORITY_DEFAULT_WORKFLOW
8105_full_0034,与,U+4E0E,34,右上包,⿹?一,一,右上包,⿹?一,,8,"元决定论为其论证。区分意识形态[ci_hai_v01_b1.json 页41]【与】科
学，认为前者[ci_hai_v01_b1.json 页41]【与】实践有关系，而后者则是一",0,,,,,context_only_no_safe_structure_candidate,cihai_wiki_context_only,REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,NONE,SOURCE_EVIDENCE_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,NOT_USED_IN_PRIORITY_DEFAULT_WORKFLOW
8105_full_0035,万,U+4E07,35,上下,⿱一?,一,上下,⿱一?,,8,"280平方千米。人口181.7[ci_hai_v01_b1.json 页41]【万】（2006
而成。约152[ci_hai_v01_b1.json 页41]【万】人（2001年）。分布在阿",0,,,,,context_only_no_safe_structure_candidate,cihai_wiki_context_only,REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,NONE,SOURCE_EVIDENCE_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,NOT_USED_IN_PRIORITY_DEFAULT_WORKFLOW
8105_full_0042,乞,U+4E5E,42,上下,⿱?乙,乙,上下,⿱?乙,,8,"大的[ci_hai_v01_b1.json 页55]【乞】力马扎罗国际机场。北部有梅鲁火
Meru）南麓，东北距[ci_hai_v01_b1.json 页55]【乞】力马扎罗山约90千",0,,,,,context_only_no_safe_structure_candidate,cihai_wiki_context_only,REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,NONE,SOURCE_EVIDENCE_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,NOT_USED_IN_PRIORITY_DEFAULT_WORKFLOW
8105_full_0047,久,U+4E45,47,镶嵌,⿻勹?,勹,镶嵌,⿻勹?,,8,"国。不[ci_hai_v01_b1.json 页46]【久】被刺死。
[ci_hai_v01_b1.json 页49]【久】。对世界上许多优良乘、挽型马品种的",0,,,,,context_only_no_safe_structure_candidate,cihai_wiki_context_only,REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,NONE,SOURCE_EVIDENCE_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,NOT_USED_IN_PRIORITY_DEFAULT_WORKFLOW
8105_full_0052,及,U+53CA,52,镶嵌,⿻?又,又,镶嵌,⿻?又,,8,"文[ci_hai_v01_b1.json 页41]【及】神学等，对加洛林王朝”文艺复兴”有
（Alsace）法国东北部地区[ci_hai_v01_b1.json 页41]【及】旧",0,,,,,context_only_no_safe_structure_candidate,cihai_wiki_context_only,REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,NONE,SOURCE_EVIDENCE_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,NOT_USED_IN_PRIORITY_DEFAULT_WORKFLOW
8105_full_0054,亡,U+4EA1,54,上下,⿱亠?,亠,上下,⿱亠?,,8,"[ci_hai_v01_b1.json 页42]【亡】国外。主要作品有长篇小说《沙宁》。
地面进攻等战法，以[ci_hai_v01_b1.json 页43]【亡】百余人、伤数百人的",0,,,,,context_only_no_safe_structure_candidate,cihai_wiki_context_only,REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,NONE,SOURCE_EVIDENCE_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,NOT_USED_IN_PRIORITY_DEFAULT_WORKFLOW
8105_full_0055,门,U+95E8,55,左右,⿰⿱丶丨?,丨 丶,左右,⿰⿱丶丨?,,8,"使节。长篇小说《克莱[ci_hai_v01_b1.json 页41]【门】西亚》以法国军
人侵墨西哥为背景，描写少女克莱[ci_hai_v01_b1.json 页41]【门】西",0,,,,,context_only_no_safe_structure_candidate,cihai_wiki_context_only,REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,NONE,SOURCE_EVIDENCE_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,NOT_USED_IN_PRIORITY_DEFAULT_WORKFLOW
8105_full_0058,之,U+4E4B,58,上下,⿱丶?,丶,上下,⿱丶?,,8,"阿尔泰乌梁海清代乌梁海三部[ci_hai_v01_b1.json 页41]【之】一。以
学者。约公元781年应查理大帝[ci_hai_v01_b1.json 页41]【之】",0,,,,,context_only_no_safe_structure_candidate,cihai_wiki_context_only,REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,NONE,SOURCE_EVIDENCE_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,NOT_USED_IN_PRIORITY_DEFAULT_WORKFLOW
8105_full_0059,尸,U+5C38,59,左右,⿰丿?,丿,左右,⿰丿?,,8,"也。乃使取申胥之[ci_hai_v01_bc10.json 页602]【尸】，盛以，而投之
椎埋杀人埋[ci_hai_v01_bc12.json 页672]【尸】。一说盗墓。《史记·酷",0,,,,,context_only_no_safe_structure_candidate,cihai_wiki_context_only,REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,NONE,SOURCE_EVIDENCE_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,NOT_USED_IN_PRIORITY_DEFAULT_WORKFLOW
8105_full_0060,己,U+5DF1,60,上下,⿱?乚,乚,上下,⿱?乚,,8,"人门》一书，用自[ci_hai_v01_b1.json 页44]【己】创造的文字简要介绍
多少拥有自[ci_hai_v01_b1.json 页44]【己】的土地。在生产上有互助",0,,,,,context_only_no_safe_structure_candidate,cihai_wiki_context_only,REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,NONE,SOURCE_EVIDENCE_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,NOT_USED_IN_PRIORITY_DEFAULT_WORKFLOW
8105_full_0061,已,U+5DF2,61,,?,已,,?,,8,"动，技法简练，表明当时的人类[ci_hai_v01_b1.json 页41]【已】经开始使
展，世俗法律[ci_hai_v01_b1.json 页48]【已】在大多数伊斯兰国家中取",0,,,,,context_only_no_safe_structure_candidate,cihai_wiki_context_only,REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,NONE,SOURCE_EVIDENCE_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,NOT_USED_IN_PRIORITY_DEFAULT_WORKFLOW
8105_full_0062,巳,U+5DF3,62,镶嵌,⿻乚?,乚,镶嵌,⿻乚?,,8,"登八十，佳日遇重三。”参见“上[ci_hai_v01_bc11.json 页625]【巳】”
春，芳辰喜月离。”参见“上[ci_hai_v01_bc12.json 页675]【巳】”（3880",0,,,,,context_only_no_safe_structure_candidate,cihai_wiki_context_only,REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,NONE,SOURCE_EVIDENCE_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,NOT_USED_IN_PRIORITY_DEFAULT_WORKFLOW
8105_full_0066,也,U+4E5F,66,镶嵌,⿻?乚,乚,镶嵌,⿻?乚,,8,"同意见，[ci_hai_v01_b1.json 页41]【也】有主张把日本语和朝鲜语划归
事，数百年来[ci_hai_v01_b1.json 页42]【也】曾在新疆哈萨克、乌孜别",0,,,,,context_only_no_safe_structure_candidate,cihai_wiki_context_only,REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,NONE,SOURCE_EVIDENCE_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,NOT_USED_IN_PRIORITY_DEFAULT_WORKFLOW
8105_full_0069,飞,U+98DE,69,镶嵌,⿻??,,镶嵌,⿻??,,8,"[ci_hai_v01_b1.json 页43]【飞】机，投射各类弹药2万多枚，运用空袭和
等为主，还有[ci_hai_v01_b1.json 页44]【飞】机、化学、电子、造船等。出",0,,,,,context_only_no_safe_structure_candidate,cihai_wiki_context_only,REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,NONE,SOURCE_EVIDENCE_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,NOT_USED_IN_PRIORITY_DEFAULT_WORKFLOW
8105_full_0070,习,U+4E60,70,右上包,⿹?冫,冫,右上包,⿹?冫,,8,"学[ci_hai_v01_b1.json 页42]【习】哲学和法学，
[ci_hai_v01_b1.json 页44]【习】惯。各家如出卖土地时，本“阿格乃”",0,,,,,context_only_no_safe_structure_candidate,cihai_wiki_context_only,REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,NONE,SOURCE_EVIDENCE_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,NOT_USED_IN_PRIORITY_DEFAULT_WORKFLOW
8105_full_0072,马,U+9A6C,72,右上包,⿹?一,一,右上包,⿹?一,,8,"所贡献。796年出任图尔的圣[ci_hai_v01_b1.json 页41]【马】丁修道院
[ci_hai_v01_b1.json 页41]【马】尔（Colmar）等。",0,,,,,context_only_no_safe_structure_candidate,cihai_wiki_context_only,REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,NONE,SOURCE_EVIDENCE_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,NOT_USED_IN_PRIORITY_DEFAULT_WORKFLOW
