char,unicode,standard_rank,status,block_reason,block_detail,approved_agent_structure,approved_agent_struct_type,implementation_queue,required_before_source_write,human_decision_id,source_table_write_status,database_rebuild_status
刁,U+5201,16,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,no conservative mapping rule in this phase,独体字,0,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
巳,U+5DF3,62,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,ambiguous against 己/已/巳 shape group in this evidence layer.,独体字,0,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
卫,U+536B,65,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,stroke/component-like label; no conservative radical assignment in this phase.,独体字,0,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
也,U+4E5F,66,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,stroke/component-like label; no conservative radical assignment in this phase.,独体字,0,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
飞,U+98DE,69,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,no conservative mapping rule in this phase,独体字,0,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
长,U+957F,127,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,no conservative mapping rule in this phase,独体字,0,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
巴,U+5DF4,178,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,ambiguous against 己/已/巳 shape group in this evidence layer.,独体字,0,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
队,U+961F,180,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,"position-sensitive: left 阝 is 阜, right 阝 is 邑; source does not preserve side.",左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
邓,U+9093,185,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,"position-sensitive: left 阝 is 阜, right 阝 is 邑; source does not preserve side.",左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
兰,U+5170,306,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,component-like label; no conservative modern radical code assignment in this phase.,上下,1,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
