packet_id,unicode,char,catalog_scope,structure_evidence_status,source_grade,next_action,phase1_status,dictionary_review_status,wiki_review_status,feature_review_queue,dictionary_source_count,has_origin_context,wiki_hit_count,human_review_status,human_structure_label,human_decomposition,human_component_note,human_source_reference,human_reviewer,human_review_notes,editable_copy_notice
CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED_001,U+3447,㑇,8105_core,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,,,,,0,False,0,需要查标准原文,,,8105_core_standard_join,source_sha256:a3336ef410d8441e15a55d0bb7e5f5b42973d997337e3f7b6d0f74148cd315f5;next_action:join_8105_structure_decomposition_sources,CNBE Agent Review v1,STANDARD_JOIN_REQUIRED: 8105 core row needs standard-derived structure/decomposition join before any GF0017 structure score or final structure label. No GF0017 points or final structure label assigned.,AGENT_REVIEWED_EDITABLE_COPY_NOT_SOURCE_EVIDENCE
CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED_002,U+344A,㑊,8105_core,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,,,,,2,False,0,需要查标准原文,,,8105_core_standard_join,source_sha256:a3336ef410d8441e15a55d0bb7e5f5b42973d997337e3f7b6d0f74148cd315f5;next_action:join_8105_structure_decomposition_sources,CNBE Agent Review v1,STANDARD_JOIN_REQUIRED: 8105 core row needs standard-derived structure/decomposition join before any GF0017 structure score or final structure label. No GF0017 points or final structure label assigned.,AGENT_REVIEWED_EDITABLE_COPY_NOT_SOURCE_EVIDENCE
CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED_003,U+356E,㕮,8105_core,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,,,,,2,False,0,需要查标准原文,,,8105_core_standard_join,source_sha256:a3336ef410d8441e15a55d0bb7e5f5b42973d997337e3f7b6d0f74148cd315f5;next_action:join_8105_structure_decomposition_sources,CNBE Agent Review v1,STANDARD_JOIN_REQUIRED: 8105 core row needs standard-derived structure/decomposition join before any GF0017 structure score or final structure label. No GF0017 points or final structure label assigned.,AGENT_REVIEWED_EDITABLE_COPY_NOT_SOURCE_EVIDENCE
CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED_004,U+360E,㘎,8105_core,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,,,,,0,False,0,需要查标准原文,,,8105_core_standard_join,source_sha256:a3336ef410d8441e15a55d0bb7e5f5b42973d997337e3f7b6d0f74148cd315f5;next_action:join_8105_structure_decomposition_sources,CNBE Agent Review v1,STANDARD_JOIN_REQUIRED: 8105 core row needs standard-derived structure/decomposition join before any GF0017 structure score or final structure label. No GF0017 points or final structure label assigned.,AGENT_REVIEWED_EDITABLE_COPY_NOT_SOURCE_EVIDENCE
CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED_005,U+364D,㙍,8105_core,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,,,,,0,False,0,需要查标准原文,,,8105_core_standard_join,source_sha256:a3336ef410d8441e15a55d0bb7e5f5b42973d997337e3f7b6d0f74148cd315f5;next_action:join_8105_structure_decomposition_sources,CNBE Agent Review v1,STANDARD_JOIN_REQUIRED: 8105 core row needs standard-derived structure/decomposition join before any GF0017 structure score or final structure label. No GF0017 points or final structure label assigned.,AGENT_REVIEWED_EDITABLE_COPY_NOT_SOURCE_EVIDENCE
CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED_006,U+3658,㙘,8105_core,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,,,,,0,False,0,需要查标准原文,,,8105_core_standard_join,source_sha256:a3336ef410d8441e15a55d0bb7e5f5b42973d997337e3f7b6d0f74148cd315f5;next_action:join_8105_structure_decomposition_sources,CNBE Agent Review v1,STANDARD_JOIN_REQUIRED: 8105 core row needs standard-derived structure/decomposition join before any GF0017 structure score or final structure label. No GF0017 points or final structure label assigned.,AGENT_REVIEWED_EDITABLE_COPY_NOT_SOURCE_EVIDENCE
CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED_007,U+3666,㙦,8105_core,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,,,,,0,False,0,需要查标准原文,,,8105_core_standard_join,source_sha256:a3336ef410d8441e15a55d0bb7e5f5b42973d997337e3f7b6d0f74148cd315f5;next_action:join_8105_structure_decomposition_sources,CNBE Agent Review v1,STANDARD_JOIN_REQUIRED: 8105 core row needs standard-derived structure/decomposition join before any GF0017 structure score or final structure label. No GF0017 points or final structure label assigned.,AGENT_REVIEWED_EDITABLE_COPY_NOT_SOURCE_EVIDENCE
CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED_008,U+36C3,㛃,8105_core,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,,,,,1,False,0,需要查标准原文,,,8105_core_standard_join,source_sha256:a3336ef410d8441e15a55d0bb7e5f5b42973d997337e3f7b6d0f74148cd315f5;next_action:join_8105_structure_decomposition_sources,CNBE Agent Review v1,STANDARD_JOIN_REQUIRED: 8105 core row needs standard-derived structure/decomposition join before any GF0017 structure score or final structure label. No GF0017 points or final structure label assigned.,AGENT_REVIEWED_EDITABLE_COPY_NOT_SOURCE_EVIDENCE
CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED_009,U+36DA,㛚,8105_core,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,,,,,1,False,0,需要查标准原文,,,8105_core_standard_join,source_sha256:a3336ef410d8441e15a55d0bb7e5f5b42973d997337e3f7b6d0f74148cd315f5;next_action:join_8105_structure_decomposition_sources,CNBE Agent Review v1,STANDARD_JOIN_REQUIRED: 8105 core row needs standard-derived structure/decomposition join before any GF0017 structure score or final structure label. No GF0017 points or final structure label assigned.,AGENT_REVIEWED_EDITABLE_COPY_NOT_SOURCE_EVIDENCE
CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED_010,U+36F9,㛹,8105_core,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,,,,,2,False,0,需要查标准原文,,,8105_core_standard_join,source_sha256:a3336ef410d8441e15a55d0bb7e5f5b42973d997337e3f7b6d0f74148cd315f5;next_action:join_8105_structure_decomposition_sources,CNBE Agent Review v1,STANDARD_JOIN_REQUIRED: 8105 core row needs standard-derived structure/decomposition join before any GF0017 structure score or final structure label. No GF0017 points or final structure label assigned.,AGENT_REVIEWED_EDITABLE_COPY_NOT_SOURCE_EVIDENCE
